date,main_numbers,bonus_numbers,scope,winners_rank_1,winners_rank_2,winners_rank_3,winners_rank_4,winners_rank_5,winners_rank_6,winners_rank_7,winners_rank_8,winners_rank_9,winners_rank_10,winners_rank_11,winners_rank_12,winners_rank_13
2016-09-27,6 9 13 39 41,2 12,europe,0,3,7,21,536,877,1554,13715,25400,72147,70688,368993,1018716
2016-09-30,17 35 37 43 44,2 10,europe,0,6,15,84,1516,3493,3456,51239,71403,169033,269403,1031101,2427770
2016-10-04,4 7 14 34 38,4 11,europe,0,7,11,56,1345,2483,2789,34247,58969,126962,172852,764835,1770619
2016-10-07,2 12 20 27 30,9 11,europe,0,11,19,73,1955,3307,5316,43532,77663,194837,223669,1029488,2520927
2016-10-11,5 12 20 24 37,4 11,europe,1,10,12,67,1558,2823,3832,38295,63646,156594,196862,861521,2102915
2016-10-14,7 13 19 31 34,1 11,europe,0,5,14,60,1199,2115,3612,27405,46352,130326,135541,606634,1654340
2016-10-18,2 17 21 25 27,6 9,europe,0,0,6,52,844,1907,1853,25866,33852,73828,127668,464657,996771
2016-10-21,9 20 23 44 48,8 10,europe,0,3,10,36,846,1591,1806,24943,35930,85437,128187,544209,1289660
2016-10-25,3 15 20 21 28,1 5,europe,1,6,9,50,966,2108,1906,26486,39698,78814,125501,517974,1042087
2016-10-28,10 16 19 23 43,2 8,europe,1,5,8,112,1332,4187,2846,55816,59837,127410,273843,834733,1759886
2016-11-01,6 10 20 29 37,1 9,europe,0,3,9,38,621,1465,1466,19634,25885,58634,97842,358325,808136
2016-11-04,7 11 12 44 48,3 7,europe,0,4,7,67,902,3702,1586,59755,45474,81630,295176,683958,1254788
2016-11-08,5 9 47 49 50,8 9,europe,1,1,3,24,578,1471,1196,18718,27485,55266,95626,412673,823632
2016-11-11,3 22 23 38 49,2 9,europe,0,6,7,39,804,1954,1631,29267,36204,73994,153956,542075,1106799
2016-11-15,7 15 36 42 48,3 7,europe,0,2,3,55,581,2108,1167,32284,25998,49068,178354,383252,731957
2016-11-18,3 12 27 32 47,6 8,europe,0,2,16,45,938,2122,2004,30680,40754,86263,159108,578129,1219769
2016-11-22,5 10 33 34 47,2 10,europe,0,1,3,22,500,1146,1090,17520,23499,54944,95576,367122,864045
2016-11-25,5 11 17 23 28,10 11,europe,2,6,33,49,1363,1904,4792,24927,46467,150408,121420,576536,1769289
2016-11-29,21 26 27 28 38,9 11,europe,0,4,3,22,435,1007,986,14978,21331,51277,81038,340644,821109
2016-12-02,6 11 23 31 32,2 12,europe,1,2,4,20,708,1170,2034,17370,34713,97572,90478,488804,1354982
2016-12-06,1 7 11 27 45,4 9,europe,0,4,8,43,759,1943,1799,25031,31796,70700,118640,413285,898252
2016-12-09,6 12 28 37 40,1 5,europe,0,8,6,51,853,1840,1886,27676,37539,81417,150188,543595,1146616
2016-12-13,14 28 29 48 50,2 8,europe,0,3,2,32,505,1651,1046,25401,24510,52181,141240,380023,803844
2016-12-16,6 10 30 41 45,4 11,europe,0,6,10,31,824,1448,1963,21497,33566,83757,118116,498493,1249755
2016-12-20,13 15 17 21 27,2 3,europe,1,14,15,67,1583,2047,2543,24069,50852,90651,108723,607464,1117419
2016-12-23,4 16 20 39 46,2 5,europe,0,2,7,49,989,2297,1962,33162,39591,80841,183528,571233,1134414
2016-12-27,3 22 25 32 39,7 12,europe,1,3,2,14,497,795,1218,11807,22240,54968,61594,326595,811831
2016-12-30,8 10 22 29 47,1 3,europe,0,3,7,42,895,2003,1884,27490,40900,88780,140437,568132,1235236
2017-01-03,19 23 27 34 49,1 11,europe,0,0,7,30,572,1093,1489,15593,23554,65312,79367,327904,891999
2017-01-06,10 14 18 21 49,9 11,europe,0,5,9,20,754,1405,1789,21100,35407,86431,111273,504296,1225401
2017-01-10,2 11 29 35 44,4 9,europe,0,3,5,50,750,1621,1515,24029,27375,62277,128094,396092,869294
2017-01-13,3 7 16 26 50,4 7,europe,0,8,9,62,1379,3228,2466,46858,57280,109202,238914,778041,1517238
2017-01-17,4 16 25 43 47,2 10,europe,0,4,8,29,630,1319,1374,19340,26865,65156,105357,401661,950064
2017-01-20,10 17 27 31 49,3 5,europe,0,3,16,96,1235,3601,2278,47153,53184,102166,236179,736643,1411722
2017-01-24,1 5 7 17 23,3 8,europe,1,11,25,103,1624,3273,3792,38294,58023,121326,171338,659707,1345199
2017-01-27,17 20 28 45 48,5 9,europe,0,2,10,52,741,2215,1466,32734,36192,70246,177760,529133,1036365
2017-01-31,3 4 17 23 44,6 9,europe,1,3,3,46,724,1808,1714,24548,33053,73036,119818,449761,975867
2017-02-03,3 4 15 46 50,5 9,europe,0,3,5,30,700,1892,1369,32498,33285,67286,182855,542868,1075437
2017-02-07,4 10 31 38 44,8 10,europe,0,0,3,24,599,1266,1175,16383,26590,56225,80874,350916,812462
2017-02-10,7 21 26 35 43,2 9,europe,0,4,6,62,990,2202,2066,30549,42233,86623,159849,565625,1158318
2017-02-14,2 10 24 40 44,3 10,europe,2,1,6,27,585,1352,1322,18710,26447,61439,96739,392902,912910
2017-02-17,19 25 33 36 48,2 9,europe,1,3,8,33,711,1590,1502,25531,31155,66061,144487,471329,986394
2017-02-21,13 19 41 45 49,3 4,europe,0,2,3,12,469,946,928,14342,22453,46637,81058,349450,710356
2017-02-24,2 4 13 22 43,8 9,europe,0,7,10,32,1038,1588,2203,23372,43523,88645,120351,587214,1193938
2017-02-28,10 20 31 35 42,2 12,europe,0,0,4,17,410,760,1246,11402,20373,54502,60555,308000,821467
2017-03-03,2 11 29 30 47,1 12,europe,0,5,6,23,667,1280,2199,18400,30390,92728,98747,438894,1319018
2017-03-07,6 37 41 48 50,4 5,europe,0,0,4,23,450,1031,1000,16551,23140,49846,100253,368378,777159
2017-03-10,31 36 38 47 49,8 11,europe,0,1,4,31,671,1493,1616,22625,31548,70465,123981,488735,1114364
2017-03-14,3 5 21 36 44,3 6,europe,1,4,7,31,693,1947,1443,29265,34032,66907,150788,506197,1004145
2017-03-17,6 10 19 29 36,3 9,europe,0,2,11,84,1019,2770,1907,36355,41785,81326,178397,564357,1103923
2017-03-21,1 20 23 44 47,4 11,europe,0,2,5,21,411,965,973,14392,19970,48313,75836,311529,770119
2017-03-24,2 17 21 27 34,5 9,europe,0,7,5,82,1168,2893,2019,37976,44252,85489,185338,600419,1154547
2017-03-28,9 13 31 33 46,6 10,europe,0,3,13,31,594,1160,1377,16499,25210,61436,85940,359331,885792
2017-03-31,17 24 26 28 45,4 12,europe,0,2,14,23,721,1195,2096,17946,33464,95479,94913,480911,1364410
2017-04-04,1 9 24 33 34,2 6,europe,0,3,4,32,575,1639,1175,24843,27920,60062,132897,426256,911875
2017-04-07,2 10 19 35 50,6 7,europe,0,2,11,47,899,1974,2014,29033,43568,88858,154973,636764,1277867
2017-04-11,5 21 22 31 49,2 8,europe,1,1,5,34,679,1981,1331,30230,31833,69370,163646,479239,1029199
2017-04-14,4 14 20 23 33,6 10,europe,0,3,5,46,852,1474,2149,20801,34054,88122,103554,459998,1185499
2017-04-18,17 22 31 38 45,5 12,europe,0,1,3,14,426,695,1110,10301,19911,48987,55483,292336,730439
2017-04-21,2 13 16 22 49,4 5,europe,0,3,6,39,888,1784,1861,24839,40647,80735,129174,568872,1108135
2017-04-25,9 11 19 32 43,3 9,europe,0,9,7,50,758,2180,1403,29523,31559,58499,141385,431628,820118
2017-04-28,14 20 25 30 39,2 8,europe,0,2,4,63,872,2620,1794,37060,38755,81489,196312,557444,1180984
2017-05-02,6 19 23 25 27,11 12,europe,0,2,13,20,573,808,2340,11636,22325,87738,60687,300043,1103995
2017-05-05,3 7 30 35 43,1 3,europe,0,4,2,41,923,1887,1698,31310,43330,84899,157020,636510,1278175
2017-05-09,8 12 16 22 26,6 7,europe,0,10,13,52,1263,2087,2231,28776,45771,83417,127810,580491,1076334
2017-05-12,2 20 28 29 44,3 9,europe,0,0,10,55,923,2642,2063,40239,45203,94832,223008,673987,1398397
2017-05-16,8 11 15 20 30,3 8,europe,0,3,17,82,1365,2998,2487,37148,50466,95673,173088,618881,1229049
2017-05-19,9 11 12 19 30,4 9,europe,0,6,15,116,2155,4725,3998,58946,78073,153428,263339,937524,1938752
2017-05-23,8 15 25 27 42,1 4,europe,0,4,8,51,1066,2117,2582,28867,47039,109569,149808,642045,1505250
